"Journal Data Filtered By:  Selected Categories: BEHAVIORAL SCIENCES Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"BEHAVIOURAL BRAIN RESEARCH","0166-4328","1872-7549","BEHAVIORAL SCIENCES - SCIE","30,620","3.332","Q2","1","5.94"%,
"COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE","1530-7026","1531-135X","BEHAVIORAL SCIENCES - SCIE","4,875","3.282","Q2","0.86","26.62"%,
"BIOLOGICAL PSYCHOLOGY","0301-0511","1873-6246","BEHAVIORAL SCIENCES - SCIE","11,776","3.251","Q2","1","5.58"%,
"PHYSIOLOGY & BEHAVIOR","0031-9384","1873-507X","BEHAVIORAL SCIENCES - SCIE","25,223","3.244","Q2","1.04","6.14"%,
"CHEMICAL SENSES","0379-864X","1464-3553","BEHAVIORAL SCIENCES - SCIE","5,825","3.16","Q2","0.73","10.31"%,
"NEUROPSYCHOLOGIA","0028-3932","1873-3514","BEHAVIORAL SCIENCES - SCIE","28,496","3.139","Q2","0.98","12.85"%,
"BEHAVIORAL MEDICINE","0896-4289","1940-4026","BEHAVIORAL SCIENCES - SCIE","1,318","3.104","Q2","0.82","0"%,
"ANIMAL COGNITION","1435-9448","1435-9456","BEHAVIORAL SCIENCES - SCIE","4,359","3.084","Q2","1.46","27.39"%,
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","1432-0762","BEHAVIORAL SCIENCES - SCIE","13,887","2.98","Q2","0.99","18.47"%,
"EPILEPSY & BEHAVIOR","1525-5050","1525-5069","BEHAVIORAL SCIENCES - SCIE","14,990","2.937","Q2","0.79","7.41"%,
"AGGRESSIVE BEHAVIOR","0096-140X","1098-2337","BEHAVIORAL SCIENCES - SCIE","4,618","2.917","Q3","1","13.99"%,
"HUMAN FACTORS","0018-7208","1547-8181","BEHAVIORAL SCIENCES - SCIE","7,807","2.888","Q3","0.92","13.56"%,
"NEUROBIOLOGY OF LEARNING AND MEMORY","1074-7427","1095-9564","BEHAVIORAL SCIENCES - SCIE","8,141","2.877","Q3","0.96","9.41"%,
"ANIMAL BEHAVIOUR","0003-3472","1095-8282","BEHAVIORAL SCIENCES - SCIE","29,231","2.844","Q3","1.32","6.86"%,
"BEHAVIOR GENETICS","0001-8244","1573-3297","BEHAVIORAL SCIENCES - SCIE","3,306","2.805","Q3","0.81","30.89"%,
"Frontiers in Integrative Neuroscience","1662-5145","1662-5145","BEHAVIORAL SCIENCES - SCIE","2,795","2.763","Q3","0.62","100"%,
"Brain and Behavior","2162-3279","2162-3279","BEHAVIORAL SCIENCES - SCIE","4,239","2.708","Q3","0.7","100"%,
"BEHAVIORAL ECOLOGY","1045-2249","1465-7279","BEHAVIORAL SCIENCES - SCIE","11,428","2.671","Q3","1.03","9.59"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION","2329-8456","2329-8464","BEHAVIORAL SCIENCES - SCIE","2,309","2.478","Q3","0.83","4.95"%,
"JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR","0022-5002","1938-3711","BEHAVIORAL SCIENCES - SCIE","4,719","2.468","Q3","0.75","1.83"%,
"APPLIED ANIMAL BEHAVIOUR SCIENCE","0168-1591","1872-9045","BEHAVIORAL SCIENCES - SCIE","12,482","2.448","Q3","1.14","7.16"%,
"Language Cognition and Neuroscience","2327-3798","2327-3801","BEHAVIORAL SCIENCES - SCIE","1,510","2.331","Q3","0.93","12.98"%,
"BEHAVIOURAL PHARMACOLOGY","0955-8810","1473-5849","BEHAVIORAL SCIENCES - SCIE","3,004","2.293","Q3","0.57","1.34"%,
"JOURNAL OF COMPARATIVE PSYCHOLOGY","0735-7036","1939-2087","BEHAVIORAL SCIENCES - SCIE","3,202","2.231","Q4","0.82","0"%,
"JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS","0196-206X","1536-7312","BEHAVIORAL SCIENCES - SCIE","5,382","2.225","Q4","0.78","0.4"%,
"BEHAVIOUR","0005-7959","1568-539X","BEHAVIORAL SCIENCES - SCIE","6,011","1.991","Q4","0.67","16.05"%,
"LEARNING & BEHAVIOR","1543-4494","1543-4508","BEHAVIORAL SCIENCES - SCIE","1,074","1.986","Q4","0.55","17.24"%,
"Journal of Veterinary Behavior-Clinical Applications and Research","1558-7878","1878-7517","BEHAVIORAL SCIENCES - SCIE","1,985","1.975","Q4","1.1","5.51"%,
"BEHAVIORAL NEUROSCIENCE","0735-7044","1939-0084","BEHAVIORAL SCIENCES - SCIE","6,881","1.912","Q4","0.6","1.24"%,
"ETHOLOGY","0179-1613","1439-0310","BEHAVIORAL SCIENCES - SCIE","5,157","1.897","Q4","0.67","10.09"%,
"JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY","0340-7594","1432-1351","BEHAVIORAL SCIENCES - SCIE","5,887","1.836","Q4","0.65","25.88"%,
"BRAIN BEHAVIOR AND EVOLUTION","0006-8977","1421-9743","BEHAVIORAL SCIENCES - SCIE","2,743","1.808","Q4","0.78","7.46"%,
"BEHAVIOURAL PROCESSES","0376-6357","1872-8308","BEHAVIORAL SCIENCES - SCIE","5,880","1.777","Q4","0.87","4.86"%,
"Cognitive and Behavioral Neurology","1543-3633","1543-3641","BEHAVIORAL SCIENCES - SCIE","923","1.6","Q4","0.37","3.85"%,
"ETHOLOGY ECOLOGY & EVOLUTION","0394-9370","1828-7131","BEHAVIORAL SCIENCES - SCIE","1,168","1.321","Q4","0.58","0.69"%,
"JOURNAL OF ETHOLOGY","0289-0771","1439-5444","BEHAVIORAL SCIENCES - SCIE","989","1.27","Q4","0.64","22.73"%,
"ACTA ETHOLOGICA","0873-9749","1437-9546","BEHAVIORAL SCIENCES - SCIE","562","1.231","Q4","0.57","14.29"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
