"Journal Data Filtered By:  Selected Categories: MATERIALS SCIENCE, BIOMATERIALS Selected Editions: SCIE Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"MACROMOLECULAR BIOSCIENCE","1616-5187","1616-5195","MATERIALS SCIENCE, BIOMATERIALS - SCIE","8,407","4.979","Q2","0.84","12.99"%,
"ACS Biomaterials Science & Engineering","2373-9878","2373-9878","MATERIALS SCIENCE, BIOMATERIALS - SCIE","9,925","4.749","Q2","0.85","2.7"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A","1549-3296","1552-4965","MATERIALS SCIENCE, BIOMATERIALS - SCIE","20,820","4.396","Q2","0.92","5.71"%,
"Journal of Biomedical Nanotechnology","1550-7033","1550-7041","MATERIALS SCIENCE, BIOMATERIALS - SCIE","5,566","4.099","Q2","0.71","0"%,
"EUROPEAN CELLS & MATERIALS","1473-2262","1473-2262","MATERIALS SCIENCE, BIOMATERIALS - SCIE","3,742","3.942","Q2","1.05","100"%,
"Journal of the Mechanical Behavior of Biomedical Materials","1751-6161","1878-0180","MATERIALS SCIENCE, BIOMATERIALS - SCIE","15,308","3.902","Q3","0.91","5.57"%,
"JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","0957-4530","1573-4838","MATERIALS SCIENCE, BIOMATERIALS - SCIE","13,209","3.896","Q3","0.71","13.41"%,
"Tissue Engineering Part A","1937-3341","1937-335X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","11,228","3.845","Q3","0.91","3.89"%,
"Biomedical Materials","1748-6041","1748-605X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","4,944","3.715","Q3","0.82","9.52"%,
"JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION","0920-5063","1568-5624","MATERIALS SCIENCE, BIOMATERIALS - SCIE","5,668","3.517","Q3","0.69","0.24"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS","1552-4973","1552-4981","MATERIALS SCIENCE, BIOMATERIALS - SCIE","11,215","3.368","Q3","0.73","7.29"%,
"Tissue Engineering Part C-Methods","1937-3384","1937-3392","MATERIALS SCIENCE, BIOMATERIALS - SCIE","3,973","3.056","Q3","0.61","8.16"%,
"Bioinspiration & Biomimetics","1748-3182","1748-3190","MATERIALS SCIENCE, BIOMATERIALS - SCIE","3,485","2.956","Q3","0.89","10.54"%,
"Journal of Bionic Engineering","1672-6529","2543-2141","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,177","2.682","Q3","0.78","7.5"%,
"JOURNAL OF BIOMATERIALS APPLICATIONS","0885-3282","1530-8022","MATERIALS SCIENCE, BIOMATERIALS - SCIE","3,268","2.646","Q3","0.58","1.75"%,
"Journal of Applied Biomaterials & Functional Materials","N/A","2280-8000","MATERIALS SCIENCE, BIOMATERIALS - SCIE","800","2.604","Q4","0.43","63.31"%,
"International Journal of Polymeric Materials and Polymeric Biomaterials","0091-4037","1563-535X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,817","2.604","Q4","0.51","0.42"%,
"Biointerphases","1934-8630","1559-4106","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,233","2.456","Q4","0.49","18.27"%,
"DENTAL MATERIALS JOURNAL","0287-4547","N/A","MATERIALS SCIENCE, BIOMATERIALS - SCIE","3,408","2.102","Q4","0.57","0"%,
"CELLULAR POLYMERS","0262-4893","1478-2421","MATERIALS SCIENCE, BIOMATERIALS - SCIE","426","2.053","Q4","0.38","2.63"%,
"JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS","0883-9115","1530-8030","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,321","1.756","Q4","0.42","0"%,
"Journal of Oral Science","1343-4934","1880-4926","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,802","1.556","Q4","0.45","0"%,
"BIO-MEDICAL MATERIALS AND ENGINEERING","0959-2989","1878-3619","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,882","1.3","Q4","0.31","0"%,
"Bioinspired Biomimetic and Nanobiomaterials","2045-9858","2045-9866","MATERIALS SCIENCE, BIOMATERIALS - SCIE","211","1.291","Q4","0.26","1.19"%,
"Journal of Biobased Materials and Bioenergy","1556-6560","1556-6579","MATERIALS SCIENCE, BIOMATERIALS - SCIE","931","0.708","Q4","0.16","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
