"Journal Data Filtered By:  Selected Categories: HEALTH POLICY & SERVICES Selected Editions: SSCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"JOURNAL OF AGING AND HEALTH","0898-2643","1552-6887","HEALTH POLICY & SERVICES - SSCI","4,467","3.213","Q2","1.06","5.21"%,
"Risk Management and Healthcare Policy","N/A","1179-1594","HEALTH POLICY & SERVICES - SSCI","945","3.2","Q2","0.86","100"%,
"HEALTH COMMUNICATION","1041-0236","1532-7027","HEALTH POLICY & SERVICES - SSCI","6,101","3.198","Q2","1.36","3"%,
"Human Resources for Health","N/A","1478-4491","HEALTH POLICY & SERVICES - SSCI","3,161","3.192","Q2","1.26","100"%,
"Health and Quality of Life Outcomes","N/A","1477-7525","HEALTH POLICY & SERVICES - SSCI","12,375","3.186","Q2","1.08","99.87"%,
"Health Information Management Journal","1833-3583","1833-3575","HEALTH POLICY & SERVICES - SSCI","541","3.185","Q2","0.78","4.84"%,
"PSYCHIATRIC SERVICES","1075-2730","1557-9700","HEALTH POLICY & SERVICES - SSCI","13,896","3.084","Q2","1.05","0.17"%,
"PSYCHOLOGY PUBLIC POLICY AND LAW","1076-8971","1939-1528","HEALTH POLICY & SERVICES - SSCI","2,197","3.078","Q2","1.75","1"%,
"HEALTH ECONOMICS","1057-9230","1099-1050","HEALTH POLICY & SERVICES - SSCI","7,932","3.046","Q2","1.12","21.71"%,
"MEDICAL CARE","0025-7079","1537-1948","HEALTH POLICY & SERVICES - SSCI","23,770","2.983","Q2","1.27","5.77"%,
"HEALTH POLICY","0168-8510","1872-6054","HEALTH POLICY & SERVICES - SSCI","9,058","2.98","Q2","0.99","29.18"%,
"Health Care Management Science","1386-9620","1572-9389","HEALTH POLICY & SERVICES - SSCI","1,496","2.893","Q2","1.18","8.89"%,
"Administration and Policy in Mental Health and Mental Health Services Research","0894-587X","1573-3289","HEALTH POLICY & SERVICES - SSCI","4,793","2.847","Q2","1.05","14.03"%,
"Journal of Patient Safety","1549-8417","1549-8425","HEALTH POLICY & SERVICES - SSCI","1,525","2.844","Q2","0.78","15.14"%,
"BMC International Health and Human Rights","N/A","1472-698X","HEALTH POLICY & SERVICES - SSCI","1,469","2.693","Q2","0.9","100"%,
"EVALUATION & THE HEALTH PROFESSIONS","0163-2787","1552-3918","HEALTH POLICY & SERVICES - SSCI","1,622","2.651","Q2","0.79","2.02"%,
"Healthcare","N/A","2227-9032","HEALTH POLICY & SERVICES - SSCI","2,175","2.645","Q2","0.79","100"%,
"American Journal of Health Economics","2332-3493","2332-3507","HEALTH POLICY & SERVICES - SSCI","269","2.641","Q2","0.95","0"%,
"MEDICAL DECISION MAKING","0272-989X","1552-681X","HEALTH POLICY & SERVICES - SSCI","6,391","2.583","Q2","0.86","19.56"%,
"Applied Health Economics and Health Policy","1175-5652","1179-1896","HEALTH POLICY & SERVICES - SSCI","1,726","2.561","Q2","0.9","31.33"%,
"Disability and Health Journal","1936-6574","1876-7583","HEALTH POLICY & SERVICES - SSCI","2,139","2.554","Q2","0.99","4.35"%,
"Journal of Genetic Counseling","1059-7700","1573-3599","HEALTH POLICY & SERVICES - SSCI","3,064","2.537","Q3","0.87","8.43"%,
"Cost Effectiveness and Resource Allocation","1478-7547","1478-7547","HEALTH POLICY & SERVICES - SSCI","911","2.532","Q3","0.73","100"%,
"HEALTH CARE ANALYSIS","1065-3058","1573-3394","HEALTH POLICY & SERVICES - SSCI","716","2.524","Q3","0.94","57.69"%,
"Journal of Health Services Research & Policy","1355-8196","1758-1060","HEALTH POLICY & SERVICES - SSCI","2,448","2.492","Q3","0.87","27.43"%,
"HEALTH PROMOTION INTERNATIONAL","0957-4824","1460-2245","HEALTH POLICY & SERVICES - SSCI","4,787","2.483","Q3","0.87","7.52"%,
"Health Economics Policy and Law","1744-1331","1744-134X","HEALTH POLICY & SERVICES - SSCI","767","2.446","Q3","1.04","26.14"%,
"Israel Journal of Health Policy Research","2045-4015","2045-4015","HEALTH POLICY & SERVICES - SSCI","692","2.385","Q3","0.76","100"%,
"Journal of Interprofessional Care","1356-1820","1469-9567","HEALTH POLICY & SERVICES - SSCI","4,227","2.338","Q3","0.69","4.48"%,
"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV","0954-0121","1360-0451","HEALTH POLICY & SERVICES - SSCI","8,406","2.32","Q3","0.82","5.25"%,
"Health Economics Review","2191-1991","2191-1991","HEALTH POLICY & SERVICES - SSCI","822","2.306","Q3","0.74","100"%,
"JOURNAL OF HEALTH POLITICS POLICY AND LAW","0361-6878","N/A","HEALTH POLICY & SERVICES - SSCI","1,586","2.265","Q3","1","0"%,
"Palliative & Supportive Care","1478-9515","1478-9523","HEALTH POLICY & SERVICES - SSCI","2,383","2.257","Q3","0.9","4.04"%,
"JOURNAL OF PALLIATIVE CARE","0825-8597","2369-5293","HEALTH POLICY & SERVICES - SSCI","1,241","2.25","Q3","0.59","2.22"%,
"AMERICAN JOURNAL OF MANAGED CARE","1088-0224","N/A","HEALTH POLICY & SERVICES - SSCI","5,296","2.229","Q3","0.6","0.24"%,
"JOURNAL OF PUBLIC HEALTH POLICY","0197-5897","1745-655X","HEALTH POLICY & SERVICES - SSCI","1,228","2.222","Q3","0.72","15.32"%,
"Expert Review of Pharmacoeconomics & Outcomes Research","1473-7167","1744-8379","HEALTH POLICY & SERVICES - SSCI","2,176","2.217","Q3","0.65","4.43"%,
"HealthCare-The Journal of Delivery Science and Innovation","2213-0764","2213-0772","HEALTH POLICY & SERVICES - SSCI","636","2.194","Q3","0.77","7.94"%,
"Gaceta Sanitaria","0213-9111","1578-1283","HEALTH POLICY & SERVICES - SSCI","2,417","2.139","Q3","0.62","100"%,
"American Health and Drug Benefits","1942-2962","1942-2970","HEALTH POLICY & SERVICES - SSCI","757","2.07","Q3","0.92","0"%,
"INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE","1353-4505","1464-3677","HEALTH POLICY & SERVICES - SSCI","7,191","2.038","Q3","0.71","17.16"%,
"Australian Health Review","0156-5788","1449-8944","HEALTH POLICY & SERVICES - SSCI","2,253","1.99","Q3","0.7","33.33"%,
"Health Policy and Technology","2211-8837","N/A","HEALTH POLICY & SERVICES - SSCI","630","1.931","Q3","0.55","6.02"%,
"JOURNAL OF COMMUNITY HEALTH","0094-5145","1573-3610","HEALTH POLICY & SERVICES - SSCI","4,272","1.883","Q4","0.69","5.02"%,
"Sahara J-Journal of Social Aspects of HIV-AIDS","1729-0376","1813-4424","HEALTH POLICY & SERVICES - SSCI","430","1.815","Q4","0.54","100"%,
"Journal of Pediatric Health Care","0891-5245","1532-656X","HEALTH POLICY & SERVICES - SSCI","1,715","1.812","Q4","0.68","1.04"%,
"Journal of Policy and Practice in Intellectual Disabilities","1741-1122","1741-1130","HEALTH POLICY & SERVICES - SSCI","1,097","1.806","Q4","0.58","11.57"%,
"COMMUNITY MENTAL HEALTH JOURNAL","0010-3853","1573-2789","HEALTH POLICY & SERVICES - SSCI","4,061","1.761","Q4","0.61","7.09"%,
"INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING","0046-9580","1945-7243","HEALTH POLICY & SERVICES - SSCI","975","1.73","Q4","0.55","100"%,
"International Journal of Health  Economics and Management","2199-9023","2199-9031","HEALTH POLICY & SERVICES - SSCI","189","1.675","Q4","0.54","10.94"%,
"INTERNATIONAL JOURNAL OF HEALTH SERVICES","0020-7314","1541-4469","HEALTH POLICY & SERVICES - SSCI","2,012","1.663","Q4","0.6","10"%,
"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634","HEALTH POLICY & SERVICES - SSCI","3,247","1.628","Q4","0.39","0"%,
"INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT","0749-6753","1099-1751","HEALTH POLICY & SERVICES - SSCI","1,664","1.517","Q4","0.6","9.8"%,
"JOURNAL OF HEALTHCARE MANAGEMENT","1096-9012","1944-7396","HEALTH POLICY & SERVICES - SSCI","878","1.507","Q4","0.42","0.92"%,
"JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH","1094-3412","1556-3308","HEALTH POLICY & SERVICES - SSCI","1,596","1.505","Q4","0.68","5.14"%,
"Journal of Health Organization and Management","1477-7266","1758-7247","HEALTH POLICY & SERVICES - SSCI","1,328","1.457","Q4","0.53","4.37"%,
"JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED","1049-2089","1548-6869","HEALTH POLICY & SERVICES - SSCI","3,459","1.449","Q4","0.43","0"%,
"Australian Journal of Primary Health","1448-7527","1836-7399","HEALTH POLICY & SERVICES - SSCI","1,185","1.307","Q4","0.54","15.02"%,
"CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS","0963-1801","1469-2147","HEALTH POLICY & SERVICES - SSCI","907","1.284","Q4","0.54","9.09"%,
"Health Sociology Review","1446-1242","1839-3551","HEALTH POLICY & SERVICES - SSCI","765","1.122","Q4","0.89","2.47"%,
"Journal for Healthcare Quality","1062-2551","1945-1474","HEALTH POLICY & SERVICES - SSCI","769","1.095","Q4","0.42","3.21"%,
"Quality Management in Health Care","1063-8628","1550-5154","HEALTH POLICY & SERVICES - SSCI","561","0.926","Q4","0.35","1.94"%,
"Journal of Mental Health Policy and Economics","1091-4358","1099-176X","HEALTH POLICY & SERVICES - SSCI","560","0.889","Q4","0.29","0"%,
"Asian Journal of WTO & International Health Law and Policy","1819-5164","N/A","HEALTH POLICY & SERVICES - SSCI","86","0.611","Q4","0.42","0"%,
"SCIENCES SOCIALES ET SANTE","0294-0337","1777-5914","HEALTH POLICY & SERVICES - SSCI","171","0.189","Q4","0.11","0"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
